"년도","지역코드","시설유형","쉼터명칭","도로명주소","지번상세주소","면적","이용가능인원","비고","운영시작일","운영종료일","경도","위도","X좌표","Y좌표"
"2025","1129070500","008","근해안강망수협 종암동지점","서울특별시 성북구 종암로19길 13","","5.00","5","","20240520","20240930","127.034079","37.598222","203009.481409","555406.173549"
"2025","1129070500","008","IBK기업은행 종암동지점","서울특별시 성북구 종암로 108","","50.00","5","","20240520","20240930","127.034432","37.599806","203040.634369","555581.946971"
"2025","1129070500","008","새마을금고 새종암(제1지점)","서울특별시 성북구 종암로 122","","50.00","5","","20240520","20240930","127.033859","37.601188","202989.987634","555735.293086"
"2025","1138062500","005","역촌동주민센터","서울특별시 은평구 연서로 59","","66.00","20","","20240520","20240930","126.915238","37.604398","192515.346830","556094.373612"
"2025","1138062500","001","어울누리 안심마을경로당","서울특별시 은평구 진흥로7나길 12-5 ","","228.00","40","","20240520","20240930","126.919246","37.605318","192869.332304","556196.227106"
"2025","1138062500","001","역마을경로당","서울특별시 은평구 진흥로1길 32-23 ","","165.00","20","","20240520","20240930","126.919950","37.603419","192931.316607","555985.405704"
"2025","1138062500","002","역촌노인복지관","서울특별시 은평구 연서로3나길 11-30 ","","42.00","15","","20240520","20240930","126.911333","37.603314","192170.395462","555974.435464"
"2025","1138063200","099","내를건너서숲으로도서관","서울특별시 은평구 증산로17길 50","","33.00","10","","20240520","20240930","126.908041","37.591668","191878.425808","554682.149313"
"2025","1138063100","005","신사1동주민센터","서울특별시 은평구 은평로2길 2","","66.00","20","","20240520","20240930","126.911751","37.597804","192206.749253","555362.840375"
"2025","1138063100","001","신흥경로당","서울특별시 은평구 증산로21길 25","","85.00","20","","20240520","20240930","126.911952","37.595976","192224.256379","555159.958259"
"2025","1138063100","001","신사1동경로당","서울특별시 은평구 갈현로3나길 6","","192.00","10","","20240520","20240930","126.906592","37.601066","191751.500381","555725.338084"
"2025","1138063100","002","신사종합사회복지관","서울특별시 은평구 은평로 38","","200.00","30","","20240520","20240930","126.912179","37.598047","192244.553507","555389.786365"
"2025","1138063200","005","신사2동주민센터","서울특별시 은평구 증산로15길 47","","236.00","50","","20240520","20240930","126.908033","37.590268","191877.567059","554526.699108"
"2025","1138063200","002","신사노인복지관","서울특별시 은평구 증산로15길 47","","72.00","25","","20240520","20240930","126.908200","37.590300","191892.328675","554530.291806"
"2025","1138063200","001","장수경로당","서울특별시 은평구 은평터널로 126","","145.00","10","공사로 인하여 현재 임시운영되는 곳(은평터널로 126) / 원래 주소 : 은평터널로 143-5","20240520","20240930","126.905012","37.590466","191610.813202","554548.984785"
"2025","1138063200","001","신사제2경로당","서울특별시 은평구 은평터널로 178-1 ","","264.00","20","","20240520","20240930","126.908640","37.594430","191931.634865","554988.637717"
